GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Solar_Distributed,2030.10.31.08,0.1424148136522619
Anhui-Solar_Distributed,2030.10.31.12,0.4264811779494014
Anhui-Solar_Distributed,2030.10.31.16,0.0664944258815601
Anhui-Solar_Distributed,2030.10.31.20,0.0
Anhui-Solar_Distributed,2030.11.12.00,0.0
Anhui-Solar_Distributed,2030.11.12.04,0.0
Anhui-Solar_Distributed,2030.11.12.08,0.2019771064870755
Anhui-Solar_Distributed,2030.11.12.12,0.5196236089389776
Anhui-Solar_Distributed,2030.11.12.16,0.1194270131225764
Anhui-Solar_Distributed,2030.11.12.20,0.0
Anhui-Solar_Distributed,2030.12.08.00,0.0
Anhui-Solar_Distributed,2030.12.08.04,0.0
Anhui-Solar_Distributed,2030.12.08.08,0.0896259895249089
Anhui-Solar_Distributed,2030.12.08.12,0.3315319036018141
Anhui-Solar_Distributed,2030.12.08.16,0.0251841236031905
Anhui-Solar_Distributed,2030.12.08.20,0.0
Anhui-Solar_Distributed,2035.01.26.00,0.0
Anhui-Solar_Distributed,2035.01.26.04,0.0
Anhui-Solar_Distributed,2035.01.26.08,0.0190765417562299
Anhui-Solar_Distributed,2035.01.26.12,0.0772900684580221
Anhui-Solar_Distributed,2035.01.26.16,0.018340166314675
Anhui-Solar_Distributed,2035.01.26.20,0.0
Anhui-Solar_Distributed,2035.02.24.00,0.0
Anhui-Solar_Distributed,2035.02.24.04,0.0
Anhui-Solar_Distributed,2035.02.24.08,0.1364533141497693
Anhui-Solar_Distributed,2035.02.24.12,0.2848332553504347
Anhui-Solar_Distributed,2035.02.24.16,0.0782314529369358
Anhui-Solar_Distributed,2035.02.24.20,0.0
Anhui-Solar_Distributed,2035.03.29.00,0.0
Anhui-Solar_Distributed,2035.03.29.04,0.0
Anhui-Solar_Distributed,2035.03.29.08,0.1384455633382374
Anhui-Solar_Distributed,2035.03.29.12,0.2807439870454981
Anhui-Solar_Distributed,2035.03.29.16,0.1083943320353088
Anhui-Solar_Distributed,2035.03.29.20,0.0
Anhui-Solar_Distributed,2035.04.12.00,0.0
Anhui-Solar_Distributed,2035.04.12.04,0.0
Anhui-Solar_Distributed,2035.04.12.08,0.455945138957444
Anhui-Solar_Distributed,2035.04.12.12,0.7779034575175078
Anhui-Solar_Distributed,2035.04.12.16,0.3079568442507697
Anhui-Solar_Distributed,2035.04.12.20,0.0
Anhui-Solar_Distributed,2035.05.28.00,0.0
Anhui-Solar_Distributed,2035.05.28.04,0.0
Anhui-Solar_Distributed,2035.05.28.08,0.3870911632078622
Anhui-Solar_Distributed,2035.05.28.12,0.6268666092055256
Anhui-Solar_Distributed,2035.05.28.16,0.2385620072404843
Anhui-Solar_Distributed,2035.05.28.20,0.0
Anhui-Solar_Distributed,2035.06.28.00,0.0
Anhui-Solar_Distributed,2035.06.28.04,0.0
Anhui-Solar_Distributed,2035.06.28.08,0.1140796642768054
Anhui-Solar_Distributed,2035.06.28.12,0.2753430596110949
Anhui-Solar_Distributed,2035.06.28.16,0.1491708733502317
Anhui-Solar_Distributed,2035.06.28.20,0.0
Anhui-Solar_Distributed,2035.07.12.00,0.0
Anhui-Solar_Distributed,2035.07.12.04,0.0
Anhui-Solar_Distributed,2035.07.12.08,0.1647691046868251
