GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
Shandong-Biomass,2007,255.5897435897436,0
Shandong-Biomass,2012,617.6752136752136,0
Shandong-Biomass,2017,2864.7350427350425,0
Shandong-Coal,1987,1257.0,0
Shandong-Coal,1992,3604.0,0
Shandong-Coal,1997,6526.0,0
Shandong-Coal,2002,13744.0,0
Shandong-Coal,2007,25332.0,0
Shandong-Coal,2012,22836.0,0
Shandong-Coal,2017,10491.999999999982,0
Shandong-Hydro_NonPumped,1982,6.559999999999999,0
Shandong-Hydro_NonPumped,1987,10.36,0
Shandong-Hydro_NonPumped,1992,17.36,0
Shandong-Hydro_NonPumped,1997,23.86,0
Shandong-Hydro_NonPumped,2002,450.0,0
Shandong-Hydro_NonPumped,2007,570.0,0
Shandong-Hydro_NonPumped,2012,10.000000000000028,0
Shandong-Hydro_NonPumped,2017,4.0,0
Shandong-Hydro_Pumped,2007,378.56290392747735,0
Shandong-Hydro_Pumped,2017,600.0,0
Shandong-Nuclear,2017,2500.0,0
Shandong-Solar_Distributed,2012,440.0,0
Shandong-Solar_Distributed,2017,14224.8,0
Shandong-Solar_Utility,2012,890.0,0
Shandong-Solar_Utility,2017,7160.2,0
Shandong-Wind_Offshore_Near,2017,15.0,0
Shandong-Wind_Onshore,2002,30.6,0
Shandong-Wind_Onshore,2007,1349.4,0
Shandong-Wind_Onshore,2012,5830.0,0
Shandong-Wind_Onshore,2017,10725.0,0
Shanghai-Biomass,2012,138.85714285714286,0
Shanghai-Biomass,2017,347.1428571428572,0
Shanghai-Coal,1987,738.0,0
Shanghai-Coal,1992,1928.0,0
Shanghai-Coal,1997,1764.0,0
Shanghai-Coal,2002,2564.0,0
Shanghai-Coal,2007,6370.0,0
Shanghai-Gas,2002,1378.0,0
Shanghai-Gas,2007,1200.0,0
Shanghai-Gas,2012,2980.0,0
Shanghai-Gas,2017,1768.4,0
Shanghai-Solar_Distributed,2012,190.0,0
Shanghai-Solar_Distributed,2017,979.0000000000002,0
Shanghai-Solar_Utility,2012,20.0,0
Shanghai-Solar_Utility,2017,177.0,0
Shanghai-Wind_Offshore_Near,2017,417.0,0
Shanghai-Wind_Onshore,2002,24.4,0
Shanghai-Wind_Onshore,2007,115.6,0
Shanghai-Wind_Onshore,2012,470.0,0
Shanxi-Biomass,2007,144.64285714285714,0
Shanxi-Biomass,2017,530.3571428571428,0
Shanxi-Coal,1987,655.0,0
Shanxi-Coal,1992,1420.0,0
Shanxi-Coal,1997,2376.0,0
Shanxi-Coal,2002,9481.0,0
Shanxi-Coal,2007,21200.0,0
Shanxi-Coal,2012,17530.0,0
Shanxi-Coal,2017,14819.999999999987,0
Shanxi-Gas,2012,1720.0,0
Shanxi-Gas,2017,468.0,0
Shanxi-Hydro_NonPumped,1982,41.27,0
Shanxi-Hydro_NonPumped,1987,65.12,0
Shanxi-Hydro_NonPumped,1992,109.09,0
Shanxi-Hydro_NonPumped,1997,627.11,0
Shanxi-Hydro_NonPumped,2007,1040.0,0
Shanxi-Hydro_NonPumped,2012,630.0,0
Shanxi-Hydro_NonPumped,2017,4.0,0
Shanxi-Hydro_Pumped,2007,940.7969575824884,0
Shanxi-Solar_Distributed,2012,20.0,0
Shanxi-Solar_Distributed,2017,2781.8000000000006,0
Shanxi-Solar_Utility,2012,1110.0,0
Shanxi-Solar_Utility,2017,9163.2,0
Shanxi-Wind_Onshore,2007,370.0,0
Shanxi-Wind_Onshore,2012,6320.0,0
Shanxi-Wind_Onshore,2017,13050.0,0
Sichuan-Biomass,2017,829.0,0
Sichuan-Coal,1987,330.0,0
Sichuan-Coal,1992,330.0,0
Sichuan-Coal,1997,624.0,0
Sichuan-Coal,2002,950.0,0
Sichuan-Coal,2007,7242.0,0
Sichuan-Coal,2012,3110.0,0
Sichuan-Coal,2017,2360.0,0
Sichuan-Gas,2012,700.0,0
Sichuan-Hydro_NonPumped,1982,722.88,0
Sichuan-Hydro_NonPumped,1987,1141.21,0
Sichuan-Hydro_NonPumped,1992,1911.51,0
Sichuan-Hydro_NonPumped,1997,4826.360000000001,0
Sichuan-Hydro_NonPumped,2002,6410.0,0
Sichuan-Hydro_NonPumped,2007,13280.0,0
Sichuan-Hydro_NonPumped,2012,32670.0,0
Sichuan-Hydro_NonPumped,2017,21070.0,0
Sichuan-Hydro_Pumped,1992,2.0,0
Sichuan-Solar_Distributed,2012,30.0,0
Sichuan-Solar_Distributed,2017,190.90000000000003,0
Sichuan-Solar_Utility,2012,330.0,0
Sichuan-Solar_Utility,2017,1360.1,0
Sichuan-Wind_Onshore,2012,730.0,0
Sichuan-Wind_Onshore,2017,3530.0,0
Tianjin-Biomass,2017,229.0,0
Tianjin-Coal,1987,50.0,0
Tianjin-Coal,1992,901.0,0
Tianjin-Coal,1997,1211.0,0
Tianjin-Coal,2002,2493.0,0
Tianjin-Coal,2007,4160.0,0
Tianjin-Coal,2012,1420.0,0
Tianjin-Coal,2017,739.9999999999997,0
Tianjin-Gas,1997,54.0,0
Tianjin-Gas,2012,1763.0,0
Tianjin-Gas,2017,2015.0,0
Tianjin-Hydro_NonPumped,1982,0.94,0
Tianjin-Hydro_NonPumped,1987,1.49,0
Tianjin-Hydro_NonPumped,1992,2.48,0
Tianjin-Hydro_NonPumped,1997,1.98,0
Tianjin-Hydro_NonPumped,2007,10.0,0
Tianjin-Solar_Distributed,2012,90.0,0
Tianjin-Solar_Distributed,2017,367.6000000000004,0
Tianjin-Solar_Utility,2012,30.0,0
Tianjin-Solar_Utility,2017,1148.4,0
Tianjin-Wind_Offshore_Near,2017,117.0,0
Tianjin-Wind_Onshore,2007,30.0,0
Tianjin-Wind_Onshore,2012,260.0,0
Tianjin-Wind_Onshore,2017,443.0,0
Tibet-Gas,2012,180.0,0
Tibet-Hydro_NonPumped,1982,23.440000000000005,0
Tibet-Hydro_NonPumped,1987,36.99,0
Tibet-Hydro_NonPumped,1992,61.98,0
Tibet-Hydro_NonPumped,1997,89.49,0
Tibet-Hydro_NonPumped,2002,130.0,0
Tibet-Hydro_NonPumped,2007,100.0,0
Tibet-Hydro_NonPumped,2012,880.0,0
Tibet-Hydro_NonPumped,2017,1390.0,0
Tibet-Hydro_Pumped,1997,90.0,0
Tibet-Solar_Distributed,2017,0.3999999999999204,0
Tibet-Solar_Utility,2012,170.0,0
Tibet-Solar_Utility,2017,1192.6,0
Tibet-Wind_Onshore,2012,10.0,0
West_Inner_Mongolia-Coal,1992,1145.0,0
West_Inner_Mongolia-Coal,1997,1020.0,0
West_Inner_Mongolia-Coal,2002,11567.0,0
West_Inner_Mongolia-Coal,2007,29689.0,0
West_Inner_Mongolia-Coal,2012,9212.0,0
West_Inner_Mongolia-Coal,2017,17091.67860798361,0
West_Inner_Mongolia-Gas,2007,600.0,0
West_Inner_Mongolia-Hydro_NonPumped,1982,3.3000000000000003,0
West_Inner_Mongolia-Hydro_NonPumped,1987,5.229999999999999,0
West_Inner_Mongolia-Hydro_NonPumped,1992,8.74,0
West_Inner_Mongolia-Hydro_NonPumped,1997,261.1,0
West_Inner_Mongolia-Hydro_NonPumped,2002,127.06,0
West_Inner_Mongolia-Hydro_NonPumped,2007,197.65,0
West_Inner_Mongolia-Hydro_NonPumped,2012,1300.0,0
West_Inner_Mongolia-Hydro_Pumped,2007,486.5214728695154,0
West_Inner_Mongolia-Hydro_Pumped,2012,1200.0,0
West_Inner_Mongolia-Solar_Distributed,2012,141.45071693273582,0
West_Inner_Mongolia-Solar_Distributed,2017,849.4901389127073,0
West_Inner_Mongolia-Solar_Utility,2012,3701.293759739921,0
West_Inner_Mongolia-Solar_Utility,2017,5233.676526511226,0
West_Inner_Mongolia-Wind_Onshore,2002,129.40356183575102,0
West_Inner_Mongolia-Wind_Onshore,2007,7277.0473597045875,0
West_Inner_Mongolia-Wind_Onshore,2012,11052.586575618265,0
West_Inner_Mongolia-Wind_Onshore,2017,10359.896921085714,0
Xinjiang-Biomass,2017,90.0,0
Xinjiang-Coal,1992,124.0,0
Xinjiang-Coal,1997,374.0,0
Xinjiang-Coal,2002,1720.0,0
Xinjiang-Coal,2007,5905.0,0
Xinjiang-Coal,2012,34870.0,0
Xinjiang-Coal,2017,17039.999999999978,0
Xinjiang-Gas,2002,69.0,0
Xinjiang-Gas,2007,111.9,0
Xinjiang-Hydro_NonPumped,1982,74.08000000000001,0
Xinjiang-Hydro_NonPumped,1987,116.94,0
Xinjiang-Hydro_NonPumped,1992,195.87,0
Xinjiang-Hydro_NonPumped,1997,236.39,0
Xinjiang-Hydro_NonPumped,2002,510.0,0
Xinjiang-Hydro_NonPumped,2007,1630.0,0
Xinjiang-Hydro_NonPumped,2012,3080.0,0
Xinjiang-Hydro_NonPumped,2017,3180.0,0
Xinjiang-Solar_Distributed,2012,40.0,0
Xinjiang-Solar_Distributed,2017,167.20000000000027,0
Xinjiang-Solar_Utility,2012,5620.0,0
Xinjiang-Solar_Utility,2017,7146.800000000001,0
Xinjiang-Wind_Onshore,2002,105.4,0
Xinjiang-Wind_Onshore,2007,1254.6,0
Xinjiang-Wind_Onshore,2012,15550.0,0
Xinjiang-Wind_Onshore,2017,6700.0,0
Yunnan-Coal,1997,1000.0,0
Yunnan-Coal,2002,2100.0,0
Yunnan-Coal,2007,8100.0,0
Yunnan-Coal,2012,2495.0,0
Yunnan-Hydro_NonPumped,1982,401.28,0
Yunnan-Hydro_NonPumped,1987,633.51,0
Yunnan-Hydro_NonPumped,1992,1061.12,0
Yunnan-Hydro_NonPumped,1997,1517.32,0
Yunnan-Hydro_NonPumped,2002,3050.0,0
Yunnan-Hydro_NonPumped,2007,16350.0,0
Yunnan-Hydro_NonPumped,2012,36470.0,0
Yunnan-Hydro_NonPumped,2017,12490.0,0
Yunnan-Solar_Distributed,2012,20.0,0
Yunnan-Solar_Distributed,2017,260.0,0
Yunnan-Solar_Utility,2012,630.0,0
Yunnan-Solar_Utility,2017,2870.0,0
Yunnan-Wind_Onshore,2007,340.0,0
Yunnan-Wind_Onshore,2012,5800.0,0
Yunnan-Wind_Onshore,2017,2670.0,0
Zhejiang-Biomass,2007,319.7435897435898,0
Zhejiang-Biomass,2012,191.84615384615387,0
Zhejiang-Biomass,2017,1982.4102564102568,0
Zhejiang-Coal,1987,454.0,0
Zhejiang-Coal,1992,2094.0,0
Zhejiang-Coal,1997,2913.0,0
Zhejiang-Coal,2002,7644.0,0
Zhejiang-Coal,2007,19686.0,0
Zhejiang-Coal,2012,12166.0,0
Zhejiang-Coal,2017,1250.0,0
Zhejiang-Gas,2002,1468.0,0
Zhejiang-Gas,2007,2709.5,0
Zhejiang-Gas,2012,7349.62,0
Zhejiang-Gas,2017,254.6,0
Zhejiang-Hydro_NonPumped,1982,359.09,0
Zhejiang-Hydro_NonPumped,1987,566.9,0
Zhejiang-Hydro_NonPumped,1992,949.55,0
Zhejiang-Hydro_NonPumped,1997,2348.23,0
Zhejiang-Hydro_NonPumped,2002,1530.0,0
Zhejiang-Hydro_NonPumped,2007,2740.0,0
Zhejiang-Hydro_NonPumped,2012,450.0,0
Zhejiang-Hydro_NonPumped,2017,810.0,0
Zhejiang-Hydro_Pumped,1997,1880.0,0
Zhejiang-Hydro_Pumped,2007,697.5362211477307,0
Zhejiang-Hydro_Pumped,2017,2550.0,0
Zhejiang-Nuclear,1997,350.0,0
Zhejiang-Nuclear,2002,2716.0,0
Zhejiang-Nuclear,2007,603.9999999999998,0
Zhejiang-Nuclear,2012,2900.0,0
Zhejiang-Nuclear,2017,2540.0,0
Zhejiang-Solar_Distributed,2012,1220.0,0
Zhejiang-Solar_Distributed,2017,9313.0,0
Zhejiang-Solar_Utility,2012,420.0,0
Zhejiang-Solar_Utility,2017,3850.0,0
Zhejiang-Wind_Offshore_Near,2017,407.0,0
Zhejiang-Wind_Onshore,2002,37.2,0
Zhejiang-Wind_Onshore,2007,212.8,0
Zhejiang-Wind_Onshore,2012,790.0,0
Zhejiang-Wind_Onshore,2017,413.0,0
