GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
Hebei-Solar_Distributed,2017,7177.800000000002,0
Hebei-Solar_Utility,2012,2120.0,0
Hebei-Solar_Utility,2017,12335.2,0
Hebei-Wind_Offshore_Near,2017,300.0,0
Hebei-Wind_Onshore,2002,48.0,0
Hebei-Wind_Onshore,2007,3672.0,0
Hebei-Wind_Onshore,2012,6500.0,0
Hebei-Wind_Onshore,2017,12220.0,0
Heilongjiang-Biomass,2007,189.94652406417117,0
Heilongjiang-Biomass,2012,205.77540106951872,0
Heilongjiang-Biomass,2017,1084.27807486631,0
Heilongjiang-Coal,1987,644.0,0
Heilongjiang-Coal,1992,822.0,0
Heilongjiang-Coal,1997,2348.0,0
Heilongjiang-Coal,2002,1535.0,0
Heilongjiang-Coal,2007,6430.0,0
Heilongjiang-Coal,2012,3350.0,0
Heilongjiang-Coal,2017,3599.99999999999,0
Heilongjiang-Hydro_NonPumped,1982,74.08000000000001,0
Heilongjiang-Hydro_NonPumped,1987,116.94,0
Heilongjiang-Hydro_NonPumped,1992,195.87,0
Heilongjiang-Hydro_NonPumped,1997,176.39,0
Heilongjiang-Hydro_NonPumped,2002,40.0,0
Heilongjiang-Hydro_NonPumped,2007,90.0,0
Heilongjiang-Hydro_NonPumped,2012,89.0,0
Heilongjiang-Hydro_NonPumped,2017,90.0,0
Heilongjiang-Hydro_Pumped,2017,300.0,0
Heilongjiang-Solar_Distributed,2012,10.0,0
Heilongjiang-Solar_Distributed,2017,807.1000000000004,0
Heilongjiang-Solar_Utility,2012,10.0,0
Heilongjiang-Solar_Utility,2017,2339.9,0
Heilongjiang-Wind_Onshore,2002,52.400000000000006,0
Heilongjiang-Wind_Onshore,2007,1857.6,0
Heilongjiang-Wind_Onshore,2012,3120.0,0
Heilongjiang-Wind_Onshore,2017,1830.0,0
Henan-Biomass,2007,58.267605633802816,0
Henan-Biomass,2012,116.53521126760565,0
Henan-Biomass,2017,1204.1971830985915,0
Henan-Coal,1987,432.0,0
Henan-Coal,1992,2085.0,0
Henan-Coal,1997,3250.0,0
Henan-Coal,2002,8167.0,0
Henan-Coal,2007,28883.0,0
Henan-Coal,2012,18565.0,0
Henan-Coal,2017,11599.999999999987,0
Henan-Gas,2007,1560.0,0
Henan-Gas,2017,1880.0,0
Henan-Hydro_NonPumped,1982,59.06,0
Henan-Hydro_NonPumped,1987,93.25,0
Henan-Hydro_NonPumped,1992,156.18,0
Henan-Hydro_NonPumped,1997,1024.72,0
Henan-Hydro_NonPumped,2002,1010.01,0
Henan-Hydro_NonPumped,2007,1110.0,0
Henan-Hydro_NonPumped,2012,340.0,0
Henan-Hydro_NonPumped,2017,80.0,0
Henan-Hydro_Pumped,2002,120.0,0
Henan-Solar_Distributed,2012,270.0,0
Henan-Solar_Distributed,2017,5447.5,0
Henan-Solar_Utility,2012,140.0,0
Henan-Solar_Utility,2017,5898.499999999999,0
Henan-Wind_Onshore,2007,50.0,0
Henan-Wind_Onshore,2012,860.0,0
Henan-Wind_Onshore,2017,14270.0,0
Hubei-Biomass,2012,427.695652173913,0
Hubei-Biomass,2017,665.304347826087,0
Hubei-Coal,1987,348.0,0
Hubei-Coal,1992,1080.0,0
Hubei-Coal,1997,4682.0,0
Hubei-Coal,2002,1599.0,0
Hubei-Coal,2007,8778.0,0
Hubei-Coal,2012,6486.0,0
Hubei-Coal,2017,8199.999999999998,0
Hubei-Gas,2002,123.0,0
Hubei-Gas,2007,185.0,0
Hubei-Gas,2012,370.0,0
Hubei-Gas,2017,265.0,0
Hubei-Hydro_NonPumped,1982,612.24,0
Hubei-Hydro_NonPumped,1987,966.55,0
Hubei-Hydro_NonPumped,1992,1618.9499999999998,0
Hubei-Hydro_NonPumped,1997,1832.75,0
Hubei-Hydro_NonPumped,2002,10819.99,0
Hubei-Hydro_NonPumped,2007,12960.0,0
Hubei-Hydro_NonPumped,2012,5500.0,0
Hubei-Hydro_NonPumped,2017,490.0,0
Hubei-Hydro_Pumped,2002,70.0,0
Hubei-Hydro_Pumped,2007,496.2505395004516,0
Hubei-Solar_Distributed,2012,60.0,0
Hubei-Solar_Distributed,2017,2069.4000000000005,0
Hubei-Solar_Utility,2012,430.0,0
Hubei-Solar_Utility,2017,4416.599999999999,0
Hubei-Wind_Onshore,2007,60.0,0
Hubei-Wind_Onshore,2012,1290.0,0
Hubei-Wind_Onshore,2017,3670.0,0
Hunan-Biomass,2012,405.9677419354839,0
Hunan-Biomass,2017,433.03225806451616,0
Hunan-Coal,1987,222.0,0
Hunan-Coal,1992,1038.0,0
Hunan-Coal,1997,918.0,0
Hunan-Coal,2002,2860.0,0
Hunan-Coal,2007,9547.0,0
Hunan-Coal,2012,3867.0,0
Hunan-Coal,2017,3360.0,0
Hunan-Gas,2012,270.0,0
Hunan-Hydro_NonPumped,1982,478.18,0
