load_zone,TIMEPOINT,zone_demand_mw
Chongqing,2025.02.08.00,13498.04029636328
East_Inner_Mongolia,2025.02.08.00,11444.160527260368
Fujian,2025.02.08.00,25843.02657318729
Gansu,2025.02.08.00,17398.37470609354
Guangdong,2025.02.08.00,60481.89941506906
Guangxi,2025.02.08.00,19726.41819671622
Guizhou,2025.02.08.00,15927.632253932412
Hainan,2025.02.08.00,4573.20142936164
Hebei,2025.02.08.00,46360.087712321765
Heilongjiang,2025.02.08.00,9855.95959360852
Henan,2025.02.08.00,41757.00485386471
Hubei,2025.02.08.00,24181.232584685844
Hunan,2025.02.08.00,26272.556920934487
Jiangsu,2025.02.08.00,68186.3977397624
Jiangxi,2025.02.08.00,18676.04789645022
Jilin,2025.02.08.00,8382.327878936421
Liaoning,2025.02.08.00,29069.55893837991
Ningxia,2025.02.08.00,12665.26231777969
Qinghai,2025.02.08.00,10744.219504467674
Shaanxi,2025.02.08.00,21580.425297348294
Shandong,2025.02.08.00,65562.52190244992
Shanghai,2025.02.08.00,18906.13270190937
Shanxi,2025.02.08.00,28214.450713372527
Sichuan,2025.02.08.00,30774.17571053004
Tianjin,2025.02.08.00,7579.07995717572
Tibet,2025.02.08.00,714.8831351083232
West_Inner_Mongolia,2025.02.08.00,35959.41103745071
Xinjiang,2025.02.08.00,39913.69642535914
Yunnan,2025.02.08.00,16027.861158792071
Zhejiang,2025.02.08.00,51042.90987745681
Anhui,2025.02.08.04,24263.17007637705
Beijing,2025.02.08.04,12110.475974535884
Chongqing,2025.02.08.04,10886.521346707408
East_Inner_Mongolia,2025.02.08.04,11047.44776513678
Fujian,2025.02.08.04,23444.64569788146
Gansu,2025.02.08.04,16540.093886128634
Guangdong,2025.02.08.04,52659.6828563347
Guangxi,2025.02.08.04,16803.01475963911
Guizhou,2025.02.08.04,13979.258739471648
Hainan,2025.02.08.04,2443.998827022012
Hebei,2025.02.08.04,40375.60649923277
Heilongjiang,2025.02.08.04,9281.831382746845
Henan,2025.02.08.04,37521.4929614686
Hubei,2025.02.08.04,21815.19230133209
Hunan,2025.02.08.04,20147.76101841709
Jiangsu,2025.02.08.04,62709.96988010066
Jiangxi,2025.02.08.04,16807.387888559373
Jilin,2025.02.08.04,7911.585439814043
Liaoning,2025.02.08.04,26966.98704620487
Ningxia,2025.02.08.04,12211.825786380452
Qinghai,2025.02.08.04,10575.986716242294
Shaanxi,2025.02.08.04,18114.7682339409
Shandong,2025.02.08.04,60386.53333120388
Shanghai,2025.02.08.04,16462.0994285648
Shanxi,2025.02.08.04,26736.594236619567
Sichuan,2025.02.08.04,25595.78016938623
