load_zone,TIMEPOINT,zone_demand_mw
Henan,2025.01.22.06,35730.37029667665
Hubei,2025.01.22.06,21831.61406007095
Hunan,2025.01.22.06,18635.9737784937
Jiangsu,2025.01.22.06,66394.49808303945
Jiangxi,2025.01.22.06,15741.7797743257
Jilin,2025.01.22.06,8592.774905232985
Liaoning,2025.01.22.06,26786.61249644275
Ningxia,2025.01.22.06,10901.745986033951
Qinghai,2025.01.22.06,8143.373773240701
Shaanxi,2025.01.22.06,17758.28764643005
Shandong,2025.01.22.06,57500.0
Shanghai,2025.01.22.06,16634.2812069183
Shanxi,2025.01.22.06,25146.077722443
Sichuan,2025.01.22.06,25251.91717512135
Tianjin,2025.01.22.06,9583.81955956597
Tibet,2025.01.22.06,859.9248197741185
West_Inner_Mongolia,2025.01.22.06,30257.828630388947
Xinjiang,2025.01.22.06,32276.47643963745
Yunnan,2025.01.22.06,19119.13639860165
Zhejiang,2025.01.22.06,45827.22967677035
Anhui,2025.01.22.07,24902.5598506733
Beijing,2025.01.22.07,13680.207093502626
Chongqing,2025.01.22.07,10877.135322868551
East_Inner_Mongolia,2025.01.22.07,6756.593048033803
Fujian,2025.01.22.07,21859.4368733401
Gansu,2025.01.22.07,14916.820879968853
Guangdong,2025.01.22.07,53401.93236064205
Guangxi,2025.01.22.07,18624.933837174125
Guizhou,2025.01.22.07,16267.8693733049
Hainan,2025.01.22.07,2938.2127705130624
Hebei,2025.01.22.07,41983.0475886919
Heilongjiang,2025.01.22.07,8427.530539831689
Henan,2025.01.22.07,36023.179503511725
Hubei,2025.01.22.07,21858.831988245576
Hunan,2025.01.22.07,18960.2968909804
Jiangsu,2025.01.22.07,67929.04823960832
Jiangxi,2025.01.22.07,15745.92752487435
Jilin,2025.01.22.07,9117.23019787378
Liaoning,2025.01.22.07,27296.209617562723
Ningxia,2025.01.22.07,10914.492263915576
Qinghai,2025.01.22.07,8186.384662679486
Shaanxi,2025.01.22.07,18098.966593002173
Shandong,2025.01.22.07,58750.0
Shanghai,2025.01.22.07,17565.99636399005
Shanxi,2025.01.22.07,25514.8498837926
Sichuan,2025.01.22.07,25481.75015757353
Tianjin,2025.01.22.07,10307.526354046237
Tibet,2025.01.22.07,901.4286097286796
West_Inner_Mongolia,2025.01.22.07,30516.557548056677
Xinjiang,2025.01.22.07,32470.108331553274
Yunnan,2025.01.22.07,19985.746278073675
Zhejiang,2025.01.22.07,48482.17542257468
Anhui,2025.01.22.08,25215.3473925872
Beijing,2025.01.22.08,14640.8163252315
Chongqing,2025.01.22.08,10974.7261432018
East_Inner_Mongolia,2025.01.22.08,6980.350113409914
Fujian,2025.01.22.08,22083.000472401
Gansu,2025.01.22.08,15229.627507978
Guangdong,2025.01.22.08,55933.7445535873
Guangxi,2025.01.22.08,19193.1627933486
Guizhou,2025.01.22.08,17328.8325032863
Hainan,2025.01.22.08,3207.61608121462
Hebei,2025.01.22.08,43572.3065768789
Heilongjiang,2025.01.22.08,9124.3028859424
Henan,2025.01.22.08,36315.9887103468
Hubei,2025.01.22.08,21886.0499164202
Hunan,2025.01.22.08,19284.6200034671
Jiangsu,2025.01.22.08,69463.5983961772
Jiangxi,2025.01.22.08,15750.075275423
Jilin,2025.01.22.08,9641.68549051458
Liaoning,2025.01.22.08,27805.8067386827
Ningxia,2025.01.22.08,10927.2385417972
Qinghai,2025.01.22.08,8229.39555211827
Shaanxi,2025.01.22.08,18439.6455395743
Shandong,2025.01.22.08,60000.0
Shanghai,2025.01.22.08,18497.7115210618
Shanxi,2025.01.22.08,25883.6220451422
Sichuan,2025.01.22.08,25711.5831400257
Tianjin,2025.01.22.08,11031.2331485265
Tibet,2025.01.22.08,942.932399683241
West_Inner_Mongolia,2025.01.22.08,30775.2864657244
Xinjiang,2025.01.22.08,32663.7402234691
Yunnan,2025.01.22.08,20852.3561575457
Zhejiang,2025.01.22.08,51137.121168379
Anhui,2025.01.22.09,26361.258340119075
Beijing,2025.01.22.09,15559.1169184175
Chongqing,2025.01.22.09,11670.114635581624
East_Inner_Mongolia,2025.01.22.09,7067.008680858752
Fujian,2025.01.22.09,23159.753186544825
Gansu,2025.01.22.09,15469.04926119305
Guangdong,2025.01.22.09,58245.62642866388
Guangxi,2025.01.22.09,20215.78440331055
Guizhou,2025.01.22.09,17977.225848841226
Hainan,2025.01.22.09,3278.512634127645
Hebei,2025.01.22.09,46329.564380431504
Heilongjiang,2025.01.22.09,8967.846330631499
Henan,2025.01.22.09,39695.53205242728
Hubei,2025.01.22.09,22854.233548817327
Hunan,2025.01.22.09,21491.104358782097
Jiangsu,2025.01.22.09,73188.91209419025
Jiangxi,2025.01.22.09,16534.1912096043
Jilin,2025.01.22.09,9779.98182067506
Liaoning,2025.01.22.09,28144.62714647177
Ningxia,2025.01.22.09,10960.4157082537
Qinghai,2025.01.22.09,8202.449748394485
Shaanxi,2025.01.22.09,19696.705032025475
Shandong,2025.01.22.09,62500.0
Shanghai,2025.01.22.09,19560.570686924948
Shanxi,2025.01.22.09,26701.260168572622
Sichuan,2025.01.22.09,28439.392902849053
Tianjin,2025.01.22.09,11149.23557385495
Tibet,2025.01.22.09,1032.1992997624309
West_Inner_Mongolia,2025.01.22.09,31078.092376819222
Xinjiang,2025.01.22.09,33168.70828872352
Yunnan,2025.01.22.09,21573.8736840953
Zhejiang,2025.01.22.09,52201.98335011818
Anhui,2025.01.22.10,27507.169287650948
Beijing,2025.01.22.10,16477.4175116035
Chongqing,2025.01.22.10,12365.50312796145
East_Inner_Mongolia,2025.01.22.10,7153.667248307591
Fujian,2025.01.22.10,24236.50590068865
Gansu,2025.01.22.10,15708.4710144081
Guangdong,2025.01.22.10,60557.50830374045
Guangxi,2025.01.22.10,21238.4060132725
Guizhou,2025.01.22.10,18625.61919439615
Hainan,2025.01.22.10,3349.40918704067
