load_zone,fuel,period,fuel_cost
Chongqing,Gas,2043,9.094457455
Chongqing,Gas,2048,9.094457455
Chongqing,Gas,2053,9.094457455
Chongqing,Gas,2058,9.094457455
Chongqing,Nuclear,2023,0.9
Chongqing,Nuclear,2028,0.9
Chongqing,Nuclear,2033,0.9
Chongqing,Nuclear,2038,0.9
Chongqing,Nuclear,2043,0.9
Chongqing,Nuclear,2048,0.9
Chongqing,Nuclear,2053,0.9
Chongqing,Nuclear,2058,0.9
East_Inner_Mongolia,Coal,2023,2.779685025
East_Inner_Mongolia,Coal,2028,2.779685025
East_Inner_Mongolia,Coal,2033,2.779685025
East_Inner_Mongolia,Coal,2038,2.779685025
East_Inner_Mongolia,Coal,2043,2.779685025
East_Inner_Mongolia,Coal,2048,2.779685025
East_Inner_Mongolia,Coal,2053,2.779685025
East_Inner_Mongolia,Coal,2058,2.779685025
East_Inner_Mongolia,Gas,2023,7.923497268
East_Inner_Mongolia,Gas,2028,7.923497268
East_Inner_Mongolia,Gas,2033,7.923497268
East_Inner_Mongolia,Gas,2038,7.923497268
East_Inner_Mongolia,Gas,2043,7.923497268
East_Inner_Mongolia,Gas,2048,7.923497268
East_Inner_Mongolia,Gas,2053,7.923497268
East_Inner_Mongolia,Gas,2058,7.923497268
East_Inner_Mongolia,Nuclear,2023,0.9
East_Inner_Mongolia,Nuclear,2028,0.9
East_Inner_Mongolia,Nuclear,2033,0.9
East_Inner_Mongolia,Nuclear,2038,0.9
East_Inner_Mongolia,Nuclear,2043,0.9
East_Inner_Mongolia,Nuclear,2048,0.9
East_Inner_Mongolia,Nuclear,2053,0.9
East_Inner_Mongolia,Nuclear,2058,0.9
Fujian,Coal,2023,6.019722267
Fujian,Coal,2028,6.019722267
Fujian,Coal,2033,6.019722267
Fujian,Coal,2038,6.019722267
Fujian,Coal,2043,6.019722267
Fujian,Coal,2048,6.019722267
Fujian,Coal,2053,6.019722267
Fujian,Coal,2058,6.019722267
Fujian,Gas,2023,11.16315379
Fujian,Gas,2028,11.16315379
Fujian,Gas,2033,11.16315379
Fujian,Gas,2038,11.16315379
Fujian,Gas,2043,11.16315379
Fujian,Gas,2048,11.16315379
Fujian,Gas,2053,11.16315379
Fujian,Gas,2058,11.16315379
Fujian,Nuclear,2023,0.9
Fujian,Nuclear,2028,0.9
Fujian,Nuclear,2033,0.9
Fujian,Nuclear,2038,0.9
Fujian,Nuclear,2043,0.9
Fujian,Nuclear,2048,0.9
Fujian,Nuclear,2053,0.9
Fujian,Nuclear,2058,0.9
Gansu,Coal,2023,5.580585031
Gansu,Coal,2028,5.580585031
Gansu,Coal,2033,5.580585031
Gansu,Coal,2038,5.580585031
Gansu,Coal,2043,5.580585031
Gansu,Coal,2048,5.580585031
Gansu,Coal,2053,5.580585031
Gansu,Coal,2058,5.580585031
Gansu,Gas,2023,8.274785324
Gansu,Gas,2028,8.274785324
Gansu,Gas,2033,8.274785324
Gansu,Gas,2038,8.274785324
Gansu,Gas,2043,8.274785324
Gansu,Gas,2048,8.274785324
Gansu,Gas,2053,8.274785324
Gansu,Gas,2058,8.274785324
Gansu,Nuclear,2023,0.9
Gansu,Nuclear,2028,0.9
Gansu,Nuclear,2033,0.9
