gen_tech,load_zones,period,planned_capacity_mw
Hydro_Pumped,Xinjiang,2038,8100.0
Hydro_Pumped,Guizhou,2038,6925.0
Hydro_Pumped,Qinghai,2038,2900.0
Hydro_Pumped,Yunnan,2038,6650.0
Hydro_Pumped,Hainan,2038,1200.0
Hydro_Pumped,Beijing,2038,0.0
Hydro_Pumped,Tibet,2038,0.0
Hydro_Pumped,Anhui,2043,6200.0
Hydro_Pumped,East_Inner_Mongolia,2043,0.0
Hydro_Pumped,Fujian,2043,11050.0
Hydro_Pumped,Gansu,2043,18350.0
Hydro_Pumped,Guangdong,2043,26200.0
Hydro_Pumped,Guangxi,2043,17200.0
Hydro_Pumped,Hebei,2043,12600.0
Hydro_Pumped,Heilongjiang,2043,13200.0
Hydro_Pumped,Henan,2043,10900.0
Hydro_Pumped,Hubei,2043,0.0
Hydro_Pumped,Hunan,2043,21600.0
Hydro_Pumped,Jiangsu,2043,6000.0
Hydro_Pumped,Jilin,2043,11600.0
Hydro_Pumped,Liaoning,2043,10500.0
Hydro_Pumped,Shandong,2043,2980.0
Hydro_Pumped,Shanxi,2043,7700.0
Hydro_Pumped,Sichuan,2043,18890.0
Hydro_Pumped,Tianjin,2043,0.0
Hydro_Pumped,Zhejiang,2043,21495.0
Hydro_Pumped,Chongqing,2043,5000.0
Hydro_Pumped,Jiangxi,2043,7200.0
Hydro_Pumped,Ningxia,2043,0.0
Hydro_Pumped,Shaanxi,2043,13820.0
Hydro_Pumped,West_Inner_Mongolia,2043,7500.0
Hydro_Pumped,Xinjiang,2043,16200.0
Hydro_Pumped,Guizhou,2043,13850.0
Hydro_Pumped,Qinghai,2043,5800.0
Hydro_Pumped,Yunnan,2043,13300.0
Hydro_Pumped,Hainan,2043,2400.0
Hydro_Pumped,Beijing,2043,0.0
Hydro_Pumped,Tibet,2043,0.0
Hydro_Pumped,Anhui,2048,6200.0
Hydro_Pumped,East_Inner_Mongolia,2048,0.0
Hydro_Pumped,Fujian,2048,11050.0
Hydro_Pumped,Gansu,2048,18350.0
Hydro_Pumped,Guangdong,2048,26200.0
Hydro_Pumped,Guangxi,2048,17200.0
Hydro_Pumped,Hebei,2048,12600.0
Hydro_Pumped,Heilongjiang,2048,13200.0
Hydro_Pumped,Henan,2048,10900.0
Hydro_Pumped,Hubei,2048,0.0
Hydro_Pumped,Hunan,2048,21600.0
Hydro_Pumped,Jiangsu,2048,6000.0
Hydro_Pumped,Jilin,2048,11600.0
Hydro_Pumped,Liaoning,2048,10500.0
Hydro_Pumped,Shandong,2048,2980.0
